Power,Current,Voltage,Shunt,Freq,Util,WorkMode
207.8,41.0,4.97,4.16,240,25,noop_test.csv
193.9,39.0,4.97,3.98,240,25,noop_test.csv
210.24,41.29,4.98,4.1,240,25,noop_test.csv
193.9,39.0,4.97,3.96,240,25,noop_test.csv
208.54,41.9,4.98,4.1,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
208.54,42.1,4.97,4.08,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
206.1,41.7,4.97,4.02,240,25,noop_test.csv
197.8,38.9,4.98,3.91,240,25,noop_test.csv
205.85,42.0,4.97,3.97,240,25,noop_test.csv
197.32,38.9,4.97,3.93,240,25,noop_test.csv
207.8,42.1,4.98,3.94,240,25,noop_test.csv
193.9,38.9,4.98,3.96,240,25,noop_test.csv
206.59,41.29,4.98,3.92,240,25,noop_test.csv
194.15,38.9,4.97,3.99,240,25,noop_test.csv
203.9,41.5,4.98,3.9,240,25,noop_test.csv
193.9,39.0,4.98,4.04,240,25,noop_test.csv
203.9,41.5,4.97,3.9,240,25,noop_test.csv
195.12,39.79,4.98,4.08,240,25,noop_test.csv
194.15,40.5,4.98,3.9,240,25,noop_test.csv
200.24,39.5,4.98,4.18,240,25,noop_test.csv
193.9,40.0,4.97,3.9,240,25,noop_test.csv
202.2,39.9,4.98,4.21,240,25,noop_test.csv
193.9,39.7,4.98,3.9,240,25,noop_test.csv
203.41,40.2,4.97,4.2,240,25,noop_test.csv
193.41,39.29,4.98,3.9,240,25,noop_test.csv
203.41,40.7,4.98,4.17,240,25,noop_test.csv
193.9,39.1,4.97,3.9,240,25,noop_test.csv
203.9,40.9,4.97,4.16,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
205.85,40.9,4.98,4.13,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
207.07,41.0,4.98,4.18,240,25,noop_test.csv
193.9,39.0,4.98,3.98,240,25,noop_test.csv
209.02,41.29,4.98,4.17,240,25,noop_test.csv
193.9,39.0,4.98,3.97,240,25,noop_test.csv
209.76,41.0,4.98,4.1,240,25,noop_test.csv
193.9,38.9,4.98,3.91,240,25,noop_test.csv
207.8,41.7,4.98,4.09,240,25,noop_test.csv
193.9,38.9,4.97,3.9,240,25,noop_test.csv
206.59,41.6,4.98,4.05,240,25,noop_test.csv
193.9,39.0,4.97,3.91,240,25,noop_test.csv
206.1,41.79,4.98,4.0,240,25,noop_test.csv
197.8,39.0,4.98,3.91,240,25,noop_test.csv
208.29,42.2,4.98,3.96,240,25,noop_test.csv
193.9,39.0,4.98,3.94,240,25,noop_test.csv
